kernel-filtered model, Age Yrs AD;YOK-I d13C (permil VPDB, kernel-filtered)
2005;-7.73
2004;-7.88
2003;-8.05
2002;-8.22
2001;-8.39
2000;-8.54
1999;-8.66
1998;-8.74
1997;-8.79
1996;-8.79
1995;-8.75
1994;-8.69
1993;-8.63
1992;-8.57
1991;-8.52
1990;-8.49
1989;-8.48
1988;-8.47
1987;-8.46
1986;-8.43
1985;-8.39
1984;-8.33
1983;-8.25
1982;-8.15
1981;-8.04
1980;-7.94
1979;-7.85
1978;-7.77
1977;-7.70
1976;-7.65
1975;-7.61
1974;-7.59
1973;-7.59
1972;-7.61
1971;-7.68
1970;-7.78
1969;-7.90
1968;-8.03
1967;-8.15
1966;-8.25
1965;-8.33
1964;-8.38
1963;-8.39
1962;-8.37
1961;-8.31
1960;-8.22
1959;-8.14
1958;-8.06
1957;-8.00
1956;-7.94
1955;-7.90
1954;-7.88
1953;-7.86
1952;-7.87
1951;-7.89
1950;-7.94
1949;-7.99
1948;-8.05
1947;-8.10
1946;-8.12
1945;-8.13
1944;-8.12
1943;-8.11
1942;-8.10
1941;-8.10
1940;-8.10
1939;-8.10
1938;-8.10
1937;-8.08
1936;-8.05
1935;-8.01
1934;-7.95
1933;-7.89
1932;-7.83
1931;-7.78
1930;-7.76
1929;-7.76
1928;-7.79
1927;-7.85
1926;-7.92
1925;-8.00
1924;-8.08
1923;-8.16
1922;-8.24
1921;-8.31
1920;-8.37
1919;-8.42
1918;-8.46
1917;-8.47
1916;-8.46
1915;-8.39
1914;-8.26
1913;-8.09
1912;-7.93
1911;-7.79
1910;-7.70
1909;-7.65
1908;-7.64
1907;-7.67
1906;-7.74
1905;-7.82
1904;-7.91
1903;-8.00
1902;-8.08
1901;-8.14
1900;-8.20
1899;-8.23
1898;-8.20
1897;-8.11
1896;-7.99
1895;-7.92
1894;-7.87
1893;-7.85
1892;-7.83
1891;-7.82
1890;-7.80
1889;-7.79
1888;-7.78
1887;-7.76
1886;-7.77
1885;-7.80
1884;-7.89
1883;-8.02
1882;-8.16
1881;-8.27
1880;-8.37
1879;-8.44
1878;-8.50
1877;-8.53
1876;-8.54
1875;-8.54
1874;-8.53
1873;-8.51
1872;-8.50
1871;-8.47
1870;-8.43
1869;-8.34
1868;-8.21
1867;-8.02
1866;-7.79
1865;-7.55
1864;-7.36
1863;-7.27
1862;-7.29
1861;-7.43
1860;-7.64
1859;-7.86
1858;-8.03
1857;-8.13
1856;-8.17
1855;-8.17
1854;-8.16
1853;-8.16
1852;-8.16
1851;-8.17
1850;-8.17
1849;-8.16
1848;-8.14
1847;-8.12
1846;-8.10
1845;-8.10
1844;-8.14
1843;-8.23
1842;-8.35
1841;-8.46
1840;-8.54
1839;-8.56
1838;-8.53
1837;-8.48
1836;-8.43
1835;-8.37
1834;-8.31
1833;-8.25
1832;-8.17
1831;-8.08
1830;-7.98
1829;-7.88
1828;-7.80
1827;-7.75
1826;-7.74
1825;-7.74
1824;-7.75
1823;-7.74
1822;-7.74
1821;-7.73
1820;-7.74
1819;-7.75
1818;-7.77
1817;-7.79
1816;-7.79
1815;-7.76
1814;-7.71
1813;-7.65
1812;-7.58
1811;-7.53
1810;-7.49
1809;-7.47
1808;-7.46
1807;-7.44
1806;-7.43
1805;-7.40
1804;-7.37
1803;-7.34
1802;-7.33
1801;-7.33
1800;-7.35
1799;-7.40
1798;-7.45
1797;-7.49
1796;-7.52
1795;-7.50
1794;-7.44
1793;-7.33
1792;-7.18
1791;-7.00
1790;-6.82
1789;-6.65
1788;-6.49
1787;-6.35
1786;-6.23
1785;-6.11
