Age, Yrs AD;YOK-I d13C (permil VPDB)
2005.51;-7.16
2005.50;-7.12
2005.47;-7.14
2005.43;-7.08
2005.37;-7.04
2005.30;-7.03
2005.21;-6.9
2005.10;-6.88
2004.98;-6.89
2004.84;-7.36
2004.69;-7.37
2004.52;-7.67
2004.34;-7.86
2004.14;-8.11
2003.92;-8.11
2003.70;-8.29
2003.45;-8.35
2003.20;-8.35
2002.93;-8.48
2002.65;-8.44
2002.35;-8.42
2002.04;-8.5
2001.71;-8.52
2001.38;-8.58
2001.03;-8.53
2000.66;-8.56
2000.29;-8.61
1999.90;-8.66
1999.50;-8.55
1999.09;-8.57
1998.66;-8.58
1998.23;-8.72
1997.78;-8.82
1997.32;-9
1996.85;-9.12
1996.37;-9.26
1995.88;-8.98
1995.38;-8.99
1994.87;-8.72
1994.35;-8.72
1993.81;-8.61
1993.27;-8.55
1992.72;-8.54
1992.16;-8.55
1991.59;-8.5
1991.01;-8.64
1990.42;-8.48
1989.82;-8.36
1989.21;-8.31
1988.60;-8.55
1987.97;-8.43
1987.34;-8.44
1986.70;-8.48
1985.40;-8.58
1984.73;-8.57
1984.06;-8.48
1983.39;-8.35
1982.70;-8.27
1982.01;-8.33
1981.32;-8.17
1980.61;-8.06
1979.90;-7.87
1979.19;-7.84
1978.46;-7.76
1977.74;-7.73
1977.00;-7.62
1976.27;-7.6
1975.52;-7.59
1974.63;-7.65
1973.47;-7.5
1972.10;-7.43
1970.56;-7.55
1968.90;-7.83
1967.17;-8.21
1965.42;-8.27
1963.70;-8.49
1962.05;-8.46
1960.53;-8.49
1959.18;-8.39
1958.05;-8.34
1957.19;-8.27
1956.65;-8.25
1956.31;-8.3
1956.03;-8.16
1955.78;-8.13
1955.57;-8.07
1955.38;-7.95
1955.20;-7.76
1955.03;-7.63
1954.85;-7.55
1954.66;-7.62
1954.44;-7.7
1954.19;-7.81
1953.89;-7.83
1953.52;-7.86
1953.08;-7.89
1952.57;-7.85
1951.99;-7.82
1951.35;-7.75
1950.66;-7.78
1949.91;-7.96
1949.11;-7.97
1948.27;-8.01
1947.39;-8.25
1946.48;-8.14
1945.54;-8.27
1944.58;-8.16
1943.59;-8.12
1942.59;-8.03
1941.57;-8.11
1940.56;-8.08
1939.54;-8.09
1938.52;-8.07
1937.51;-8.18
1936.51;-8.12
1935.53;-8.14
1934.57;-8.07
1933.64;-8.03
1932.73;-7.91
1931.87;-7.87
1931.04;-7.8
1930.25;-7.66
1929.52;-7.81
1928.84;-7.65
1928.20;-7.48
1927.60;-7.54
1927.04;-7.66
1926.49;-7.8
1925.97;-7.89
1925.46;-7.95
1924.95;-8.04
1924.43;-8.03
1923.91;-7.97
1923.36;-8.22
1922.80;-8.17
1922.20;-8.26
1921.56;-8.28
1920.87;-8.4
1920.13;-8.42
1919.33;-8.46
1918.47;-8.52
1917.53;-8.45
1916.23;-8.49
1914.46;-8.95
1912.47;-7.72
1910.49;-7.76
1908.76;-7.85
1907.53;-7.71
1906.67;-7.33
1905.89;-7.15
1905.19;-7.36
1904.58;-7.54
1904.06;-7.74
1903.63;-7.73
1903.29;-7.8
1903.00;-8.32
1902.73;-8.11
1902.47;-8.25
1902.17;-8.17
1901.82;-8.22
1901.39;-8.32
1900.58;-8.42
1899.23;-8.34
1897.54;-8.31
1895.71;-8.27
1893.92;-8.05
1892.39;-8.03
1891.30;-8.09
1890.85;-8
1890.78;-7.94
1890.72;-8.05
1890.66;-7.97
1890.60;-7.96
1890.55;-8.09
1890.50;-8.01
1890.46;-8.09
1890.41;-7.95
1890.37;-7.99
1890.33;-8
1890.29;-7.73
1890.26;-7.7
1890.23;-7.91
1890.20;-7.81
1890.17;-7.84
1890.14;-7.45
1890.12;-7.59
1890.09;-7.4
1890.07;-7.53
1890.05;-7.72
1890.03;-7.38
1890.01;-7.78
1890.00;-7.82
1889.98;-8.12
1889.96;-8.08
1889.95;-8.12
1889.93;-8.07
1889.92;-8.1
1889.91;-7.94
1889.89;-8.22
1889.88;-8.02
1889.87;-8.22
1889.85;-8.14
1889.84;-8.19
1889.83;-8.04
1889.81;-7.84
1889.80;-7.82
1889.78;-7.83
1889.77;-7.61
1889.75;-7.69
1889.73;-7.32
1889.71;-7.33
1889.69;-7.42
1889.67;-7.26
1889.65;-7.38
1889.63;-7.45
1889.60;-7.54
1889.57;-7.75
1889.54;-7.76
1889.51;-7.75
1889.48;-7.83
1889.44;-8.38
1889.40;-7.88
1889.35;-7.77
1889.30;-7.8
1889.25;-8.11
1889.18;-8.06
1889.12;-7.64
1889.05;-7.73
1888.97;-7.89
1888.80;-7.74
1888.70;-7.81
1888.60;-7.63
1888.49;-7.57
1888.38;-7.66
1888.25;-7.61
1888.12;-7.46
1887.91;-7.3
1887.56;-7.43
1887.09;-7.47
1886.50;-7.69
1885.82;-7.62
1885.06;-7.66
1884.23;-7.84
1883.34;-8.16
1882.42;-8.1
1881.48;-8.52
1880.53;-8.19
1879.58;-8.3
1878.65;-8.32
1877.76;-8.48
1876.92;-8.7
1876.14;-8.73
1875.44;-8.75
1874.78;-8.45
1874.12;-8.58
1873.46;-8.45
1872.80;-8.32
1872.14;-8.62
1871.48;-8.59
1870.82;-8.28
1870.17;-8.59
1869.53;-8.59
1868.90;-8.5
1868.27;-8.53
1867.66;-8.39
1867.06;-8.44
1866.48;-8.36
1865.91;-8.36
1865.36;-8.07
1864.83;-7.88
1864.32;-7.77
1863.83;-7.45
1863.37;-7.2
1862.93;-6.95
1862.52;-6.88
1862.13;-6.6
1861.74;-6.51
1861.36;-6.35
1861.00;-6.07
1860.64;-6.5
1860.28;-6.8
1859.94;-7.17
1859.60;-7.4
1859.26;-7.9
1858.94;-8.31
1858.62;-8.35
1858.31;-8.35
1858.00;-8.27
1857.70;-8.45
1857.40;-8.38
1857.11;-8.4
1856.83;-8.54
1856.54;-8.39
1856.27;-8.35
1856.00;-8.42
1855.73;-8.39
1855.46;-8.52
1855.20;-8.48
1854.95;-8.17
1854.69;-8.03
1854.44;-8.02
1854.19;-8.12
1853.95;-7.97
1853.71;-7.97
1853.46;-7.9
1853.22;-7.76
1852.99;-7.97
1852.75;-7.81
1852.51;-7.93
1852.28;-8.21
1852.05;-8.22
1851.81;-8.24
1851.58;-8.25
1851.34;-8.33
1851.11;-8.25
