kernel-filtered model, Age Yrs AD;YOK-I d18O (permil VPDB, kernel-filtered)
2005;-3.21
2004;-3.24
2003;-3.27
2002;-3.30
2001;-3.33
2000;-3.36
1999;-3.37
1998;-3.37
1997;-3.36
1996;-3.35
1995;-3.34
1994;-3.35
1993;-3.36
1992;-3.36
1991;-3.36
1990;-3.35
1989;-3.34
1988;-3.32
1987;-3.31
1986;-3.30
1985;-3.30
1984;-3.29
1983;-3.29
1982;-3.29
1981;-3.30
1980;-3.30
1979;-3.31
1978;-3.30
1977;-3.28
1976;-3.25
1975;-3.23
1974;-3.21
1973;-3.21
1972;-3.22
1971;-3.24
1970;-3.26
1969;-3.28
1968;-3.31
1967;-3.33
1966;-3.36
1965;-3.38
1964;-3.39
1963;-3.40
1962;-3.41
1961;-3.41
1960;-3.43
1959;-3.44
1958;-3.45
1957;-3.46
1956;-3.47
1955;-3.46
1954;-3.45
1953;-3.44
1952;-3.42
1951;-3.42
1950;-3.42
1949;-3.44
1948;-3.46
1947;-3.47
1946;-3.48
1945;-3.47
1944;-3.46
1943;-3.45
1942;-3.44
1941;-3.43
1940;-3.42
1939;-3.41
1938;-3.40
1937;-3.40
1936;-3.41
1935;-3.42
1934;-3.44
1933;-3.46
1932;-3.47
1931;-3.47
1930;-3.47
1929;-3.47
1928;-3.48
1927;-3.48
1926;-3.48
1925;-3.47
1924;-3.45
1923;-3.42
1922;-3.38
1921;-3.35
1920;-3.31
1919;-3.30
1918;-3.32
1917;-3.35
1916;-3.39
1915;-3.41
1914;-3.39
1913;-3.33
1912;-3.27
1911;-3.23
1910;-3.22
1909;-3.23
1908;-3.25
1907;-3.27
1906;-3.28
1905;-3.29
1904;-3.29
1903;-3.29
1902;-3.29
1901;-3.30
1900;-3.30
1899;-3.31
1898;-3.32
1897;-3.33
1896;-3.34
1895;-3.36
1894;-3.37
1893;-3.38
1892;-3.38
1891;-3.38
1890;-3.39
1889;-3.39
1888;-3.40
1887;-3.41
1886;-3.43
1885;-3.47
1884;-3.53
1883;-3.59
1882;-3.62
1881;-3.63
1880;-3.62
1879;-3.62
1878;-3.61
1877;-3.62
1876;-3.63
1875;-3.64
1874;-3.65
1873;-3.65
1872;-3.65
1871;-3.64
1870;-3.62
1869;-3.60
1868;-3.60
1867;-3.61
1866;-3.63
1865;-3.67
1864;-3.72
1863;-3.76
1862;-3.78
1861;-3.79
1860;-3.79
1859;-3.79
1858;-3.78
1857;-3.78
1856;-3.77
1855;-3.76
1854;-3.75
1853;-3.74
1852;-3.73
1851;-3.73
1850;-3.74
1849;-3.74
1848;-3.75
1847;-3.75
1846;-3.77
1845;-3.80
1844;-3.86
1843;-3.93
1842;-3.99
1841;-4.03
1840;-4.06
1839;-4.07
1838;-4.08
1837;-4.09
1836;-4.10
1835;-4.12
1834;-4.14
1833;-4.13
1832;-4.11
1831;-4.05
1830;-3.95
1829;-3.81
1828;-3.66
1827;-3.52
1826;-3.42
1825;-3.37
1824;-3.35
1823;-3.36
1822;-3.36
1821;-3.36
1820;-3.36
1819;-3.36
1818;-3.38
1817;-3.42
1816;-3.47
1815;-3.53
1814;-3.61
1813;-3.68
1812;-3.74
1811;-3.80
1810;-3.84
1809;-3.85
1808;-3.82
1807;-3.77
1806;-3.69
1805;-3.58
1804;-3.47
1803;-3.37
1802;-3.29
1801;-3.25
1800;-3.24
1799;-3.25
1798;-3.27
1797;-3.30
1796;-3.32
1795;-3.33
1794;-3.33
1793;-3.33
1792;-3.34
1791;-3.36
1790;-3.39
1789;-3.42
1788;-3.44
1787;-3.45
1786;-3.45
1785;-3.43
1784;-3.40
1783;-3.39
1782;-3.38
1781;-3.40
1780;-3.44
1779;-3.49
1778;-3.55
1777;-3.60
1776;-3.66
1775;-3.71
1774;-3.74
1773;-3.75
1772;-3.73
1771;-3.69
1770;-3.63
1769;-3.58
1768;-3.54
1767;-3.52
1766;-3.52
1765;-3.51
1764;-3.51
1763;-3.49
1762;-3.47
1761;-3.45
1760;-3.43
1759;-3.43
1758;-3.43
1757;-3.44
1756;-3.45
1755;-3.46
1754;-3.48
1753;-3.51
1752;-3.54
1751;-3.59
1750;-3.65
1749;-3.73
1748;-3.80
1747;-3.84
1746;-3.84
1745;-3.82
1744;-3.79
1743;-3.76
1742;-3.74
1741;-3.72
