Age, Yrs AD;YOK-I d18O (permil VPDB)
2005.51;-2.950
2005.51;-3.040
2005.48;-3.170
2005.44;-3.170
2005.38;-3.100
2005.30;-3.100
2005.21;-3.090
2005.11;-3.140
2004.98;-3.110
2004.85;-3.120
2004.69;-3.270
2004.52;-3.250
2004.34;-3.440
2004.14;-3.200
2003.93;-3.200
2003.70;-3.150
2003.45;-3.090
2003.20;-3.280
2002.93;-3.370
2002.64;-3.280
2002.34;-3.430
2002.03;-3.330
2001.71;-3.300
2001.37;-3.500
2001.02;-3.400
2000.65;-3.320
2000.28;-3.470
1999.89;-3.390
1999.49;-3.310
1999.07;-3.420
1998.65;-3.420
1998.21;-3.450
1997.76;-3.380
1997.30;-3.500
1996.83;-3.440
1996.35;-3.410
1995.86;-3.260
1995.35;-3.250
1994.84;-3.150
1994.32;-3.330
1993.78;-3.190
1993.24;-3.380
1992.68;-3.310
1992.12;-3.440
1991.55;-3.530
1990.97;-3.460
1990.38;-3.480
1989.78;-3.410
1989.17;-3.280
1988.55;-3.280
1987.93;-3.240
1987.29;-3.280
1986.65;-3.250
1985.35;-3.350
1984.68;-3.390
1984.01;-3.290
1983.33;-3.190
1982.65;-3.350
1981.96;-3.340
1981.26;-3.130
1980.55;-3.150
1979.84;-3.360
1979.13;-3.380
1978.40;-3.450
1977.68;-3.400
1976.94;-3.400
1976.20;-3.180
1975.46;-3.120
1974.57;-3.130
1973.41;-3.220
1972.04;-3.140
1970.50;-3.310
1968.84;-3.210
1967.12;-3.380
1965.37;-3.300
1963.65;-3.450
1962.01;-3.420
1960.49;-3.450
1959.15;-3.300
1958.02;-3.390
1957.16;-3.340
1956.62;-3.500
1956.29;-3.160
1956.00;-3.620
1955.76;-3.610
1955.54;-3.540
1955.35;-3.550
1955.18;-3.480
1955.00;-3.400
1954.82;-3.450
1954.63;-3.540
1954.41;-3.600
1954.16;-3.550
1953.86;-3.540
1953.49;-3.520
1953.05;-3.400
1952.54;-3.310
1951.96;-3.240
1951.32;-3.200
1950.62;-3.290
1949.88;-3.400
1949.08;-3.510
1948.24;-3.590
1947.36;-3.580
1946.45;-3.400
1945.51;-3.470
1944.54;-3.520
1943.55;-3.470
1942.55;-3.430
1941.54;-3.490
1940.52;-3.390
1939.50;-3.310
1938.48;-3.520
1937.47;-3.570
1936.47;-3.130
1935.49;-3.280
1934.53;-3.500
1933.60;-3.460
1932.70;-3.490
1931.83;-3.480
1931.00;-3.480
1930.22;-3.470
1929.49;-3.610
1928.80;-3.470
1928.17;-3.360
1927.57;-3.440
1927.00;-3.440
1926.46;-3.370
1925.94;-3.610
1925.42;-3.410
1924.91;-3.570
1924.40;-3.620
1923.87;-3.640
1923.33;-3.380
1922.76;-3.400
1922.16;-3.540
1921.53;-3.300
1920.84;-3.310
1920.10;-3.180
1919.30;-3.250
1918.44;-3.140
1917.49;-3.200
1916.20;-3.370
1914.43;-4.030
1912.44;-3.040
1910.45;-3.120
1908.73;-3.170
1907.50;-3.320
1906.64;-3.150
1905.85;-3.170
1905.15;-3.360
1904.54;-3.310
1904.02;-3.390
1903.60;-3.390
1903.26;-3.390
1902.97;-3.370
1902.71;-3.170
1902.45;-3.300
1902.15;-3.160
1901.81;-3.190
1901.38;-3.230
1900.57;-3.390
1899.23;-3.310
1897.54;-3.420
1895.71;-3.370
1893.93;-3.100
1892.39;-3.140
1891.30;-3.100
1890.85;-3.230
1890.78;-3.310
1890.71;-3.680
1890.65;-3.610
1890.60;-3.390
1890.54;-3.340
1890.49;-3.340
1890.44;-3.220
1890.40;-3.350
1890.35;-3.660
1890.31;-3.540
1890.28;-3.400
1890.24;-3.410
1890.21;-3.660
1890.17;-3.360
1890.15;-3.610
1890.12;-3.280
1890.09;-3.550
1890.07;-3.620
1890.04;-3.430
1890.02;-3.440
1890.00;-3.270
1889.98;-3.410
1889.97;-3.320
1889.95;-3.450
1889.93;-3.310
1889.92;-3.430
1889.90;-3.470
1889.89;-3.580
1889.87;-3.390
1889.86;-3.670
1889.85;-3.410
1889.83;-3.460
1889.82;-3.440
1889.81;-3.480
1889.79;-3.280
1889.78;-3.260
1889.76;-3.280
1889.75;-3.010
1889.73;-2.940
1889.71;-3.180
1889.70;-3.200
1889.68;-3.270
1889.66;-3.250
1889.63;-3.170
1889.61;-3.190
1889.59;-3.200
1889.56;-3.150
1889.53;-3.300
1889.50;-3.280
1889.47;-3.300
1889.44;-3.420
1889.40;-3.750
1889.36;-3.500
1889.31;-3.480
1889.26;-3.390
1889.21;-3.670
1889.15;-3.660
1889.09;-3.570
1889.02;-3.660
1888.94;-3.570
1888.78;-3.360
1888.69;-3.310
1888.59;-3.360
1888.48;-3.300
1888.37;-3.300
1888.25;-3.270
1888.12;-3.310
1887.92;-3.300
1887.57;-3.340
1887.10;-3.320
1886.52;-3.620
1885.84;-3.490
1885.08;-3.590
1884.26;-3.690
1883.38;-3.620
1882.46;-3.650
1881.52;-3.860
1880.57;-3.580
1879.63;-3.610
1878.70;-3.600
1877.81;-3.480
1876.97;-3.580
1876.20;-3.690
1875.50;-3.660
1874.84;-3.560
1874.18;-3.680
1873.51;-3.650
1872.85;-3.560
1872.18;-3.750
1871.52;-3.730
1870.86;-3.650
1870.20;-3.830
1869.56;-3.650
1868.92;-3.550
1868.29;-3.580
1867.67;-3.410
1867.07;-3.540
1866.48;-3.550
1865.91;-3.520
1865.35;-3.430
1864.82;-3.450
1864.30;-4.100
1863.81;-3.580
1863.35;-3.710
1862.91;-3.330
1862.49;-3.860
1862.10;-4.060
1861.72;-4.070
1861.34;-3.580
1860.97;-3.650
1860.61;-4.220
1860.26;-3.520
1859.91;-3.940
1859.57;-4.270
1859.24;-3.830
1858.91;-3.810
1858.59;-3.730
1858.28;-3.830
1857.98;-3.240
1857.67;-3.690
1857.38;-3.740
1857.09;-3.780
1856.80;-3.700
1856.52;-3.520
1856.25;-3.860
1855.98;-3.980
1855.71;-3.820
1855.45;-3.960
1855.19;-3.880
1854.93;-3.940
1854.68;-3.780
1854.43;-4.100
1854.18;-3.960
1853.93;-3.860
1853.69;-3.880
1853.45;-3.420
1853.21;-3.470
1852.98;-3.640
1852.74;-3.620
1852.51;-3.550
1852.27;-3.660
1852.04;-3.700
1851.81;-3.740
1851.57;-3.560
1851.34;-3.610
1851.11;-3.620
1850.87;-3.840
1850.64;-3.790
1850.40;-3.880
1850.17;-3.690
1849.93;-3.770
1849.69;-3.670
1849.45;-3.750
1849.21;-3.840
1848.96;-3.730
1848.71;-3.690
1848.46;-3.810
1848.20;-3.910
1847.95;-3.780
1847.69;-3.840
1847.42;-3.890
1847.15;-3.840
1846.88;-3.770
1846.60;-3.730
1846.32;-3.700
1846.03;-3.580
1845.74;-3.600
1845.44;-3.570
1845.13;-3.650
1844.83;-3.680
1844.51;-3.530
1844.18;-3.750
1843.83;-3.630
1843.47;-3.660
1843.09;-4.260
1842.70;-4.090
1842.30;-4.110
1841.89;-4.040
1841.49;-4.120
1841.08;-4.040
1840.67;-4.290
1840.27;-4.090
1839.87;-4.100
1839.49;-4.190
1839.11;-3.990
1838.75;-4.080
1838.41;-4.080
1838.09;-4.050
1837.80;-4.120
1837.52;-4.010
1837.27;-4.080
1837.03;-4.050
1836.79;-3.950
